Codigo_Transacao,CPF_Cliente,Nome_Cliente,Data_Transacao,Moeda,Valor_Transacao,Tipo_Transacao,Status_Transacao,Categoria,Banco,Num_Parcelas,Taxa_Servico,Valor_Final
FIN000216,149.959.778-60,Carolina Azevedo,2022-12-14,BRL,836323.0,Pagamento,Aprovada,Moradia,XP,12,207.95,836530.95
FIN000941,263.502.442-97,Thiago Cavalcanti,2024-10-07,BRL,286123.0,Saque,Pendente,Viagem,BTG,3,458.33,286581.33
FIN000004,117.761.562-23,Henrique Pinto,2022-06-03,BRL,83459.0,Depósito,Recusada,Vestuário,BTG,12,20.93,83479.93
FIN000438,359.456.343-12,Guilherme Mota,2023-07-05,BRL,286123.0,Saque,Aprovada,Tecnologia,Banco do Brasil,1,384.15,286507.15
FIN000694,838.322.896-96,Vanessa Coelho,2024-02-24,BRL,286123.0,PIX,Pendente,Viagem,C6 Bank,6,357.28,286480.28
FIN000594,847.767.608-63,Diego Peixoto,2023-11-24,BRL,5903.58,Saque,Pendente,Vestuário,XP,3,37.57,5941.15
FIN000051,170.180.119-44,Marcelo Teixeira,2022-07-16,BRL,286123.0,PIX,Recusada,Tecnologia,Inter,2,335.02,286458.02
FIN000435,743.598.221-82,Andre Monteiro,2023-07-02,BRL,286123.0,Transferência,Recusada,Moradia,XP,6,229.26,286352.26
FIN000153,137.973.927-15,Leonardo Braga,2022-10-17,BRL,286123.0,Pagamento,Recusada,Alimentação,XP,12,435.67,286558.67
FIN000914,865.644.550-40,Guilherme Mota,2024-09-12,BRL,286123.0,Depósito,,,C6 Bank,3,479.32,286602.32
FIN000231,404.151.402-64,Andre Monteiro,2022-12-28,BRL,214076.5,PIX,Pendente,Investimento,BTG,2,59.07,214135.57
FIN000419,921.724.856-65,Carolina Azevedo,2023-06-18,BRL,580739.0,Saque,Recusada,Viagem,Inter,2,108.85,580847.85
FIN000583,796.973.839-12,Beatriz Lopes,2023-11-14,BRL,257787.0,Depósito,Aprovada,Moradia,Banco do Brasil,12,58.07,257845.07
FIN000268,434.773.493-25,Felipe Andrade,2023-01-31,BRL,280269.0,PIX,Aprovada,Viagem,Inter,3,32.72,280301.72
FIN000021,173.907.183-97,Beatriz Lopes,2022-06-19,BRL,533159.0,Pagamento,,Investimento,BTG,1,95.08,533254.08
FIN000743,813.419.501-75,Juliana Queiroz,2024-04-09,BRL,378346.0,PIX,Pendente,Alimentação,BTG,2,49.46,378395.46
FIN000458,871.642.681-24,Amanda Vieira,2023-07-23,BRL,286123.0,Transferência,Recusada,Moradia,Banco do Brasil,1,294.48,286417.48
FIN000058,940.414.713-15,Vanessa Coelho,2022-07-23,BRL,286123.0,Depósito,Aprovada,Viagem,C6 Bank,1,108.29,286231.29
FIN000457,304.204.249-69,Felipe Andrade,2023-07-22,BRL,301583.0,PIX,Pendente,Tecnologia,Banco do Brasil,2,64.34,301647.34
FIN000528,308.997.525-22,Amanda Vieira,2023-09-25,BRL,961549.0,Transferência,Aprovada,Alimentação,C6 Bank,2,97.99,961646.99
FIN000168,455.580.927-35,Juliana,2022-10-31,BRL,286123.0,Saque,Aprovada,Vestuário,C6 Bank,2,148.81,286271.81
FIN000137,591.118.292-38,Diego Peixoto,2022-10-03,BRL,749636.0,Transferência,Aprovada,Alimentação,XP,3,53.16,749689.16
FIN000223,602.973.906-87,Natalia Correia,2022-12-20,BRL,321095.0,Transferência,Pendente,Viagem,BTG,12,69.55,321164.55
FIN000510,782.716.306-67,Isabela Nunes,2023-09-09,BRL,728006.0,Pagamento,Aprovada,Viagem,Inter,24,146.79,728152.79
FIN000302,410.823.432-13,Isabela Nunes,2023-03-03,BRL,286123.0,PIX,Pendente,Investimento,BTG,24,561.65,286684.65
FIN000318,321.156.891-93,Diego Peixoto,2023-03-17,BRL,286123.0,Depósito,Pendente,Vestuário,Inter,2,410.44,286533.44
FIN000633,728.896.954-62,Guilherme Mota,2023-12-30,BRL,93446.0,Pagamento,Aprovada,Vestuário,XP,12,22.47,93468.47
FIN000650,265.904.518-98,Rafael Macedo,2024-01-15,BRL,658239.0,Depósito,Recusada,Moradia,XP,24,42.94,658281.94
FIN000293,736.421.751-86,Thiago Cavalcanti,2023-02-22,BRL,633314.0,Depósito,Pendente,Vestuário,BTG,3,46.29,633360.29
FIN000984,692.951.388-61,Carolina Azevedo,2024-11-15,BRL,169955.0,Depósito,Pendente,Vestuário,BTG,24,336.31,170291.31
FIN000173,426.111.100-98,Marcelo Teixeira,2022-11-05,BRL,286123.0,Pagamento,Pendente,Tecnologia,BTG,12,137.57,286260.57
FIN000178,691.827.268-88,Rafael Macedo,2022-11-09,BRL,400715.0,Pagamento,Pendente,Investimento,BTG,12,29.51,400744.51
FIN000114,416.323.491-95,Diego Peixoto,2022-09-12,BRL,1964.87,PIX,Aprovada,Tecnologia,C6 Bank,2,52.8,2017.6699999999998
FIN000130,482.811.488-54,Felipe Andrade,2022-09-26,BRL,286123.0,Pagamento,Pendente,Alimentação,Inter,1,135.2,286258.2
FIN000680,891.808.906-94,Priscila Gomes,2024-02-11,BRL,286123.0,Depósito,Recusada,Investimento,Banco do Brasil,6,100.25,286223.25
FIN000442,291.726.227-19,Juliana Queiroz,2023-07-09,BRL,286123.0,Pagamento,Aprovada,Tecnologia,C6 Bank,3,543.92,286666.92
FIN000543,949.306.912-97,Isabela Nunes,2023-10-09,BRL,286123.0,Depósito,Recusada,Investimento,XP,3,595.39,286718.39
FIN000906,962.920.975-73,Rafael Macedo,2024-09-05,BRL,51519.0,Pagamento,Aprovada,Tecnologia,XP,1,71.83,51590.83
FIN000492,892.413.958-52,Juliana Queiroz,2023-08-23,BRL,963495.0,Saque,Recusada,,C6 Bank,3,198.62,963693.62
FIN000288,970.433.127-31,Marcelo Teixeira,2023-02-18,BRL,286123.0,Transferência,Pendente,Alimentação,BTG,12,257.7,286380.7
FIN000408,770.693.708-95,Guilherme Mota,2023-06-07,BRL,286123.0,Transferência,Recusada,Alimentação,C6 Bank,12,530.15,286653.15
FIN000994,295.301.496-57,Felipe,2024-11-24,BRL,286123.0,Saque,Recusada,Vestuário,XP,6,307.4,286430.4
FIN000597,888.181.916-51,Juliana Queiroz,2023-11-27,BRL,34241.0,Pagamento,Recusada,Viagem,XP,1,79.06,34320.06
FIN000816,215.495.772-43,Henrique Pinto,2024-06-14,BRL,286123.0,Transferência,Pendente,Viagem,C6 Bank,1,650.94,286773.94
FIN000854,818.528.269-17,Juliana Queiroz,2024-07-19,BRL,398627.0,PIX,Aprovada,Investimento,Banco do Brasil,1,60.82,398687.82
FIN000898,254.972.141-43,Carolina Azevedo,2024-08-28,BRL,8323.0,Depósito,Recusada,Moradia,BTG,6,0.53,8323.53
FIN000577,753.488.616-62,Carolina Azevedo,2023-11-09,BRL,550104.0,PIX,Pendente,Vestuário,XP,6,70.64,550174.64
FIN000804,626.541.452-16,Isabela Nunes,2024-06-03,BRL,286123.0,Pagamento,Aprovada,Alimentação,BTG,12,434.21,286557.21
FIN000127,433.849.274-67,Andre Monteiro,2022-09-24,BRL,286123.0,Saque,Recusada,Vestuário,Inter,12,295.21,286418.21
FIN000748,367.441.701-20,Leticia Moura,2024-04-13,BRL,268734.0,Transferência,Pendente,Investimento,XP,12,56.16,268790.16
FIN000475,435.565.258-93,Leticia Moura,2023-08-08,BRL,286123.0,Saque,Recusada,Vestuário,Banco do Brasil,1,311.17,286434.17
FIN000144,522.669.513-27,Priscila Gomes,2022-10-09,BRL,5238.85,Depósito,Pendente,Vestuário,Inter,6,131.2,5370.05
FIN000087,457.682.972-69,Leonardo Braga,2022-08-18,BRL,286123.0,PIX,Recusada,Investimento,XP,1,229.26,286352.26
FIN000848,326.709.480-22,Natalia Correia,2024-07-14,BRL,85485.0,PIX,Aprovada,Investimento,XP,12,18.92,85503.92
FIN000901,362.511.956-93,Beatriz Lopes,2024-08-31,BRL,286123.0,Pagamento,Pendente,Investimento,Banco do Brasil,2,85.19,286208.19
FIN000246,981.619.320-54,Andre Monteiro,2023-01-10,BRL,768614.0,PIX,Pendente,Vestuário,BTG,24,214.86,768828.86
FIN000075,452.870.589-41,Leticia Moura,2022-08-07,BRL,286123.0,Depósito,Aprovada,Viagem,C6 Bank,2,333.3,286456.3
FIN000647,375.929.995-23,Carolina Azevedo,2024-01-12,BRL,519552.0,Pagamento,Aprovada,Alimentação,Inter,1,79.42,519631.42
FIN000684,227.380.235-19,Henrique Pinto,2024-02-15,BRL,17511.78,PIX,Aprovada,Tecnologia,XP,2,213.73,17725.51
FIN000976,296.161.559-73,Leticia Moura,2024-11-08,BRL,730542.0,Saque,Aprovada,Alimentação,Banco do Brasil,6,52.5,730594.5
FIN000047,278.132.302-44,Beatriz,2022-07-13,BRL,635317.0,Depósito,Recusada,Tecnologia,BTG,1,147.73,635464.73
FIN000845,161.614.440-74,Andre Monteiro,2024-07-11,BRL,286123.0,Saque,Aprovada,Tecnologia,Inter,2,315.21,286438.21
FIN000571,876.231.330-41,Isabela Nunes,2023-11-03,BRL,717557.0,Depósito,Aprovada,Vestuário,Banco do Brasil,1,88.21,717645.21
FIN000755,214.258.739-94,Amanda Vieira,2024-04-20,BRL,286123.0,Depósito,Pendente,Viagem,Inter,3,430.79,286553.79
FIN000428,488.660.578-89,Leonardo Braga,2023-06-26,BRL,61931.0,Saque,Recusada,Moradia,C6 Bank,1,179.49,62110.49
FIN000678,646.959.117-59,Vanessa Coelho,2024-02-09,BRL,163676.0,PIX,Recusada,Alimentação,C6 Bank,1,29.44,163705.44
FIN000554,107.125.176-87,Henrique,2023-10-19,BRL,286123.0,Depósito,Pendente,Viagem,C6 Bank,6,78.93,286201.93
FIN000672,934.359.109-75,Amanda Vieira,2024-02-04,BRL,289368.0,Transferência,Aprovada,Tecnologia,C6 Bank,1,43.97,289411.97
FIN000667,173.729.624-27,Andre Monteiro,2024-01-30,BRL,9325.94,Pagamento,Pendente,Viagem,Banco do Brasil,6,46.66,9372.6
FIN000263,273.917.554-78,Rafael Macedo,2023-01-26,BRL,286123.0,Depósito,Pendente,Moradia,C6 Bank,1,459.33,286582.33
FIN000631,482.229.617-72,Leticia Moura,2023-12-28,BRL,286123.0,Depósito,Aprovada,Alimentação,Banco do Brasil,12,291.65,286414.65
FIN000715,866.367.453-70,Isabela Nunes,2024-03-14,BRL,286123.0,PIX,Recusada,Investimento,BTG,2,646.39,286769.39
FIN000477,283.986.910-44,Vanessa Coelho,2023-08-10,BRL,77881.0,Depósito,Aprovada,Vestuário,XP,6,149.4,78030.4
FIN000489,169.164.189-23,Camila Rocha,2023-08-20,BRL,286123.0,Transferência,Aprovada,Investimento,BTG,1,147.15,286270.15
FIN000589,886.683.482-18,Leticia Moura,2023-11-20,BRL,286123.0,Depósito,Aprovada,Viagem,Inter,12,113.09,286236.09
FIN000802,135.692.300-34,Andre Monteiro,2024-06-02,BRL,16123.78,Saque,Recusada,Moradia,C6 Bank,24,187.58,16311.36
FIN000155,748.485.436-14,Leticia Moura,2022-10-19,BRL,286123.0,Pagamento,Recusada,Viagem,C6 Bank,2,357.74,286480.74
FIN000639,106.785.427-82,Guilherme Mota,2024-01-05,BRL,595639.0,Pagamento,Pendente,Tecnologia,Banco do Brasil,1,127.4,595766.4
FIN000378,267.212.355-16,Rafael Macedo,2023-05-11,BRL,286123.0,Pagamento,Recusada,Moradia,BTG,2,378.57,286501.57
FIN000820,317.106.359-56,Thiago Cavalcanti,2024-06-18,BRL,286123.0,PIX,Recusada,Moradia,Banco do Brasil,24,256.85,286379.85
FIN000439,767.316.834-28,Vanessa Coelho,2023-07-06,BRL,126007.0,Saque,Recusada,Moradia,XP,12,321.3,126328.3
FIN000902,685.208.870-79,Vanessa Coelho,2024-09-01,BRL,177562.0,PIX,Pendente,Moradia,Inter,24,96.84,177658.84
FIN000390,530.129.648-24,Beatriz Lopes,2023-05-22,BRL,19175.88,Depósito,Pendente,,Inter,2,405.98,19581.86
FIN000309,211.397.333-96,Henrique Pinto,2023-09-03,BRL,286123.0,Depósito,Aprovada,Tecnologia,XP,2,529.62,286652.62
FIN000322,613.526.910-40,Leonardo Braga,2023-03-21,BRL,5043.0,Transferência,Recusada,Viagem,C6 Bank,1,0.73,5043.73
FIN000225,815.755.664-27,Amanda Vieira,2022-12-22,BRL,22802.0,Depósito,,Vestuário,BTG,12,31.17,22833.17
FIN000508,818.823.871-78,Rodrigo Farias,2023-07-09,BRL,104949.0,Pagamento,Recusada,Investimento,C6 Bank,1,21.24,104970.24
FIN000121,948.439.903-72,Juliana Queiroz,2022-09-18,BRL,286123.0,Pagamento,Pendente,Alimentação,Banco do Brasil,6,161.73,286284.73
FIN000110,125.758.222-30,Marcelo Teixeira,2022-09-08,BRL,286123.0,Saque,Pendente,Tecnologia,BTG,24,252.76,286375.76
FIN000289,409.354.683-99,Isabela Nunes,2023-02-19,BRL,286123.0,Pagamento,Aprovada,Moradia,XP,1,305.65,286428.65
FIN000607,997.639.103-71,Felipe Andrade,2023-12-06,BRL,286123.0,Depósito,Pendente,Moradia,Inter,6,328.45,286451.45
FIN000254,731.101.611-81,Isabela Nunes,2023-01-18,BRL,286123.0,Pagamento,Pendente,Viagem,BTG,6,700.29,286823.29
FIN000214,444.155.101-20,Andre Monteiro,2022-12-12,BRL,286123.0,Transferência,Pendente,Moradia,BTG,24,421.9,286544.9
FIN000496,674.391.802-62,Isabela Nunes,2023-08-27,BRL,286123.0,Saque,Pendente,Vestuário,XP,1,336.2,286459.2
FIN000452,189.606.178-28,Beatriz Lopes,2023-07-18,BRL,286123.0,Depósito,Pendente,Vestuário,C6 Bank,24,341.93,286464.93
FIN000108,710.477.350-54,Natalia Correia,2022-09-06,BRL,390777.0,Saque,Recusada,Investimento,XP,1,31.39,390808.39
FIN000724,520.136.138-25,Rodrigo Farias,2024-03-22,BRL,11577.19,PIX,Pendente,Investimento,Banco do Brasil,12,229.26,11806.45
FIN000063,526.862.316-25,Thiago Cavalcanti,2022-07-27,BRL,286123.0,Transferência,Pendente,Alimentação,XP,3,410.99,286533.99
FIN000767,837.275.846-62,Diego Peixoto,2024-05-01,BRL,286123.0,PIX,Recusada,Investimento,Banco do Brasil,24,550.55,286673.55
FIN000154,583.290.260-46,Andre Monteiro,2022-10-18,BRL,286123.0,Saque,Recusada,Moradia,Inter,2,562.83,286685.83
FIN000924,478.348.504-38,Felipe Andrade,2024-09-21,BRL,785386.0,PIX,Recusada,Vestuário,BTG,2,45.47,785431.47
FIN000064,134.267.592-25,Leonardo Braga,2022-07-28,BRL,286123.0,Depósito,Recusada,Viagem,XP,3,272.26,286395.26
FIN000101,649.480.299-29,Rafael Macedo,2022-08-31,BRL,286123.0,Pagamento,Recusada,Vestuário,BTG,2,474.05,286597.05
FIN000209,432.130.541-67,Felipe Andrade,2022-12-08,BRL,109912.0,Depósito,,Investimento,Banco do Brasil,3,19.68,109931.68
FIN000494,727.527.553-49,Andre Monteiro,2023-08-25,BRL,286123.0,Transferência,Pendente,Vestuário,Inter,3,540.67,286663.67
FIN000049,172.189.273-12,Priscila Gomes,2022-07-14,BRL,286123.0,Depósito,Recusada,Moradia,Banco do Brasil,2,132.2,286255.2
FIN000545,813.924.781-97,Rodrigo Farias,2023-10-11,BRL,286123.0,Pagamento,Aprovada,Moradia,,6,265.53,286388.53
FIN000764,829.526.770-83,Leticia Moura,2024-04-28,BRL,438733.0,PIX,Recusada,Vestuário,XP,12,80.2,438813.2
FIN000270,907.227.539-67,Felipe Andrade,2023-02-01,BRL,286123.0,Depósito,Pendente,Moradia,BTG,3,216.2,286339.2
FIN000669,750.248.239-76,Isabela Nunes,2024-01-02,BRL,286123.0,Pagamento,Aprovada,Moradia,XP,2,439.17,286562.17
FIN000003,455.445.349-47,Beatriz Lopes,2022-06-02,BRL,286123.0,Pagamento,Recusada,Alimentação,XP,24,448.24,286571.24
FIN000273,998.366.138-19,Vanessa Coelho,2023-02-04,BRL,286123.0,Transferência,Aprovada,Viagem,C6 Bank,2,273.86,286396.86
FIN000881,106.114.725-23,Camila Rocha,2024-08-13,BRL,478331.0,Transferência,Aprovada,Vestuário,BTG,12,135.59,478466.59
FIN000645,744.538.987-29,Amanda Vieira,2024-01-10,BRL,286123.0,Pagamento,Pendente,Moradia,Banco do Brasil,1,265.47,286388.47
FIN000619,608.944.508-58,Diego Peixoto,2023-12-17,BRL,286123.0,Pagamento,Aprovada,Vestuário,C6 Bank,1,130.53,286253.53
FIN000910,233.787.728-48,Beatriz Lopes,2024-09-08,BRL,286123.0,Saque,Pendente,Viagem,Banco do Brasil,12,297.56,286420.56
FIN000674,816.939.407-12,Beatriz Lopes,2024-02-06,BRL,369184.0,Depósito,Recusada,Moradia,BTG,12,44.73,369228.73
FIN000878,516.362.465-60,Natalia Correia,2024-08-10,BRL,286123.0,Saque,Recusada,Tecnologia,XP,2,54.87,286177.87
FIN000295,483.409.392-32,Andre Monteiro,2023-02-24,BRL,648014.0,Saque,Recusada,Vestuário,XP,24,126.52,648140.52
FIN000799,135.586.999-55,Andre Monteiro,2024-05-30,BRL,312066.0,PIX,Aprovada,Investimento,C6 Bank,1,31.68,312097.68
FIN000482,659.400.665-40,Camila Rocha,2023-08-14,BRL,216204.0,Saque,Recusada,Alimentação,C6 Bank,3,478.06,216682.06
FIN000220,228.362.512-35,Juliana Queiroz,2022-12-18,BRL,286123.0,Transferência,Recusada,Alimentação,XP,3,272.57,286395.57
FIN000375,317.504.655-11,Guilherme Mota,2023-05-08,BRL,987321.0,Depósito,Recusada,Moradia,Inter,12,61.37,987382.37
FIN000701,931.960.548-11,Andre Monteiro,2024-03-01,BRL,286123.0,Saque,Recusada,Moradia,C6 Bank,24,144.34,286267.34
FIN000085,864.358.469-26,Leticia Moura,2022-08-16,BRL,59199.0,Saque,Aprovada,Viagem,C6 Bank,1,91.15,59290.15
FIN000278,993.701.223-76,Priscila Gomes,2023-02-09,BRL,286123.0,Pagamento,Aprovada,Investimento,XP,12,128.76,286251.76
FIN000947,857.142.766-38,Leticia Moura,2024-10-12,BRL,16500.21,Depósito,Recusada,Vestuário,Banco do Brasil,12,282.9,16783.11
FIN000586,390.168.969-61,Rafael Macedo,2023-11-17,BRL,286123.0,Depósito,Aprovada,Alimentação,C6 Bank,2,397.18,286520.18
FIN000296,883.483.172-22,Isabela Nunes,2023-02-25,BRL,154696.0,Pagamento,Recusada,Viagem,Inter,6,99.93,154795.93
FIN000850,Não Informado,Vanessa Coelho,2024-07-15,BRL,286123.0,Depósito,Pendente,Vestuário,C6 Bank,12,236.0,286359.0
FIN000400,777.127.763-92,Camila Rocha,2023-05-31,BRL,286123.0,Depósito,Pendente,Alimentação,Banco do Brasil,2,240.17,286363.17
FIN000778,271.157.841-56,Leticia Moura,2024-05-11,BRL,286123.0,Depósito,Pendente,Investimento,XP,24,122.77,286245.77
FIN000771,906.293.609-44,Andre Monteiro,2024-04-05,BRL,286123.0,Saque,Pendente,Investimento,Inter,1,237.3,286360.3
FIN000567,235.597.686-34,Isabela Nunes,2023-10-31,BRL,286123.0,PIX,Recusada,Alimentação,Inter,24,158.2,286281.2
FIN000693,500.659.947-92,Beatriz Lopes,2024-02-23,BRL,286123.0,PIX,Recusada,Viagem,Banco do Brasil,24,73.08,286196.08
FIN000733,682.352.156-37,Thiago Cavalcanti,2024-03-30,BRL,286123.0,Saque,Recusada,Viagem,Banco do Brasil,3,724.91,286847.91
FIN000703,522.925.782-91,Vanessa Coelho,2024-03-03,BRL,3820.63,Pagamento,Pendente,Moradia,Banco do Brasil,12,82.6,3903.23
FIN000598,429.255.221-12,Rodrigo Farias,2023-11-28,BRL,49265.0,PIX,Recusada,Viagem,XP,3,89.59,49354.59
FIN000566,263.491.170-67,Henrique Pinto,2023-10-30,BRL,424205.0,Transferência,Aprovada,Tecnologia,XP,2,119.11,424324.11
FIN000520,494.719.943-55,Rodrigo Farias,2023-09-18,BRL,286123.0,PIX,Aprovada,Alimentação,BTG,6,376.62,286499.62
FIN000065,911.871.287-35,Rafael Macedo,2022-07-29,BRL,286123.0,Transferência,Pendente,Alimentação,Inter,12,424.62,286547.62
FIN000133,646.121.552-96,Priscila Gomes,2022-09-29,BRL,286123.0,Depósito,Aprovada,Alimentação,C6 Bank,3,174.39,286297.39
FIN000608,302.568.506-24,Henrique Pinto,2023-12-07,BRL,286123.0,Pagamento,Recusada,Alimentação,C6 Bank,1,492.38,286615.38
FIN000962,577.143.519-36,Rodrigo Farias,2024-10-26,BRL,286123.0,Pagamento,Aprovada,Tecnologia,XP,12,534.44,286657.44
FIN000705,639.476.422-63,Diego Peixoto,2024-03-05,BRL,286123.0,Saque,Recusada,Vestuário,XP,1,194.96,286317.96
FIN000082,494.290.787-56,Natalia Correia,2022-08-14,BRL,286123.0,Saque,Recusada,Tecnologia,Inter,24,226.13,286349.13
FIN000276,323.808.331-92,Diego Peixoto,2023-02-07,BRL,286123.0,PIX,Pendente,Moradia,Banco do Brasil,3,214.06,286337.06
FIN000637,685.407.780-49,Vanessa Coelho,2024-01-03,BRL,286123.0,PIX,Aprovada,Moradia,C6 Bank,6,209.66,286332.66
FIN000116,280.311.703-21,Carolina Azevedo,2022-09-14,BRL,286123.0,Transferência,Pendente,Vestuário,C6 Bank,3,544.9,286667.9
FIN000192,827.655.699-44,Vanessa Coelho,2022-11-22,BRL,286123.0,PIX,Pendente,Moradia,C6 Bank,24,251.94,286374.94
FIN000810,214.142.911-54,Vanessa Coelho,2024-06-09,BRL,687412.0,Depósito,Pendente,,XP,6,76.98,687488.98
FIN000770,156.710.855-43,Vanessa Coelho,2024-05-03,BRL,286123.0,Depósito,Recusada,Viagem,C6 Bank,24,270.45,286393.45
FIN000351,395.883.175-16,Diego Peixoto,2023-04-16,BRL,286123.0,Depósito,Aprovada,Viagem,Inter,1,283.73,286406.73
FIN000787,834.849.482-49,Guilherme Mota,2024-05-19,BRL,286123.0,Transferência,Pendente,Investimento,C6 Bank,2,110.94,286233.94
FIN000572,Não Informado,Leticia Moura,2023-11-04,BRL,286123.0,Transferência,Recusada,Vestuário,BTG,24,143.59,286266.59
FIN000260,292.701.594-43,Camila Rocha,2023-01-23,BRL,286123.0,Saque,Pendente,Moradia,Inter,12,119.15,286242.15
FIN000502,644.197.677-83,Amanda Vieira,2023-09-01,BRL,286123.0,Depósito,Pendente,Tecnologia,BTG,2,305.18,286428.18
FIN000183,772.155.393-22,Camila Rocha,2022-11-14,BRL,478802.0,PIX,Aprovada,Investimento,XP,24,46.08,478848.08
FIN000834,259.500.497-77,Marcelo Teixeira,2024-07-01,BRL,133574.0,Saque,Pendente,Tecnologia,Inter,12,362.6,133936.6
FIN000481,342.603.401-77,Felipe Andrade,2023-08-13,BRL,272624.0,Saque,Pendente,Viagem,BTG,2,56.18,272680.18
FIN000612,142.629.688-25,Juliana Queiroz,2023-12-11,BRL,800738.0,Transferência,Aprovada,Viagem,Inter,6,201.59,800939.59
FIN000542,525.341.423-95,Natalia Correia,2023-10-08,BRL,220792.0,Pagamento,,Viagem,BTG,6,448.21,221240.21
FIN000564,794.833.965-63,Leonardo Braga,2023-10-28,BRL,286123.0,PIX,Pendente,Investimento,BTG,12,203.4,286326.4
FIN000720,456.154.366-36,Marcelo Teixeira,2024-03-19,BRL,98976.0,Transferência,,Alimentação,C6 Bank,12,292.97,99268.97
FIN000007,890.934.957-57,Guilherme Mota,2022-06-06,BRL,7475.68,Depósito,Aprovada,Viagem,Banco do Brasil,1,74.41,7550.09
FIN000890,512.893.585-14,Amanda Vieira,2024-08-21,BRL,286123.0,Transferência,Pendente,Moradia,C6 Bank,2,335.7,286458.7
FIN000928,Não Informado,Beatriz Lopes,2024-09-25,BRL,673206.0,Transferência,Aprovada,Moradia,Banco do Brasil,12,94.4,673300.4
FIN000421,964.551.108-26,Beatriz Lopes,2023-06-19,BRL,286123.0,PIX,Recusada,Moradia,Banco do Brasil,3,226.42,286349.42
FIN000957,867.470.433-42,Diego Peixoto,2024-10-21,BRL,3723.08,PIX,Pendente,Tecnologia,Banco do Brasil,24,46.59,3769.67
FIN000041,319.538.934-75,Beatriz Lopes,2022-07-07,BRL,286123.0,Saque,Pendente,Viagem,Inter,12,239.16,286362.16
FIN000436,279.377.171-85,Isabela Nunes,2023-07-03,BRL,643038.0,Depósito,Recusada,Investimento,C6 Bank,1,102.6,643140.6
FIN000470,582.194.910-28,Marcelo,2023-08-03,BRL,286123.0,Depósito,Recusada,Moradia,BTG,24,300.09,286423.09
FIN000308,458.511.958-10,Guilherme Mota,2023-03-08,BRL,982192.0,Depósito,Pendente,Investimento,XP,6,269.54,982461.54
